ChrisLegion,./04_narf_feature_extraction_and_correlation,10/12/23 15:57:14.869930344 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,118.1 ms,100.937 ms,16 key points,20.6632 ms,17 key points,239.7 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/12/23 15:58:26.803997548 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,118.993 ms,103.872 ms,16 key points,15.1009 ms,17 key points,237.967 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/12/23 16:01:30.131210819 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,116.15 ms,102.051 ms,16 key points,15.089 ms,16 key points,233.291 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/12/23 16:21:29.13329742 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,116.035 ms,102.157 ms,16 key points,15.1797 ms,17 key points,233.372 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/12/23 16:23:02.646280852 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,120.973 ms,107.286 ms,16 key points,16.8267 ms,17 key points,245.086 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/12/23 16:24:28.88241171 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,125.118 ms,102.65 ms,16 key points,17.9574 ms,17 key points,245.725 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/12/23 16:26:43.347867539 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,121.342 ms,109.219 ms,16 key points,15.2081 ms,17 key points,245.769 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/13/23 07:31:23.916068490 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,130.01 ms,120.356 ms,16 key points,18.2132 ms,17 key points,268.579 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/13/23 08:03:22.462242479 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,141.469 ms,103.474 ms,16 key points,18.5882 ms,17 key points,263.531 ms,
ChrisLegion,./04_narf_feature_extraction_and_correlation,10/13/23 08:06:32.506609828 UTC,../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ,../../01_feature_ext/files/20231008_09_couch_top_right_legion_filtered.pcd ../../01_feature_ext/files/20231008_09_couch_middle_legion_filtered.pcd,124.935 ms,102.213 ms,16 key points,15.0873 ms,17 key points,242.236 ms,
