id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-08 19:11:37.840 UTC, 0, 16845123584, 178077696, 16262400, 14054400, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:37.900 UTC, 2024-09-08 19:11:37.956 UTC, 2024-09-08 19:11:38.041 UTC, 0
2, 2024-09-08 19:11:38.042 UTC, 0, 16845123584, 178241536, 16262400, 14054400, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:38.081 UTC, 2024-09-08 19:11:38.143 UTC, 2024-09-08 19:11:38.221 UTC, 0
3, 2024-09-08 19:11:38.222 UTC, 0, 16845123584, 178446336, 16262400, 14054400, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:38.266 UTC, 2024-09-08 19:11:38.322 UTC, 2024-09-08 19:11:38.393 UTC, 0
4, 2024-09-08 19:11:38.393 UTC, 0, 16845123584, 178483200, 16508160, 14054400, 245760, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:38.436 UTC, 2024-09-08 19:11:38.496 UTC, 2024-09-08 19:11:38.554 UTC, 0
5, 2024-09-08 19:11:38.555 UTC, 0, 16845123584, 178520064, 16508160, 14300160, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:38.595 UTC, 2024-09-08 19:11:38.629 UTC, 2024-09-08 19:11:38.676 UTC, 0
6, 2024-09-08 19:11:38.677 UTC, 0, 16845123584, 178544640, 16296960, 14277120, 18446744073709363456, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:38.717 UTC, 2024-09-08 19:11:38.752 UTC, 2024-09-08 19:11:38.808 UTC, 0
7, 2024-09-08 19:11:38.809 UTC, 0, 16845123584, 178565120, 16243200, 14035200, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:38.849 UTC, 2024-09-08 19:11:38.882 UTC, 2024-09-08 19:11:38.935 UTC, 0
8, 2024-09-08 19:11:38.935 UTC, 0, 16845123584, 178634752, 16055040, 14035200, 18446744073709363456, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:38.977 UTC, 2024-09-08 19:11:39.012 UTC, 2024-09-08 19:11:39.066 UTC, 0
9, 2024-09-08 19:11:39.067 UTC, 0, 16845123584, 178638848, 16001280, 13793280, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:39.109 UTC, 2024-09-08 19:11:39.144 UTC, 2024-09-08 19:11:39.194 UTC, 0
10, 2024-09-08 19:11:39.194 UTC, 0, 16845123584, 178688000, 15813120, 13793280, 18446744073709363456, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:39.236 UTC, 2024-09-08 19:11:39.273 UTC, 2024-09-08 19:11:39.328 UTC, 0
11, 2024-09-08 19:11:39.328 UTC, 0, 16845123584, 178741248, 15759360, 13551360, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:39.370 UTC, 2024-09-08 19:11:39.406 UTC, 2024-09-08 19:11:39.460 UTC, 0
12, 2024-09-08 19:11:39.460 UTC, 0, 16845123584, 178790400, 17725440, 13551360, 1966080, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:39.501 UTC, 2024-09-08 19:11:39.534 UTC, 2024-09-08 19:11:39.590 UTC, 0
13, 2024-09-08 19:11:39.590 UTC, 0, 16845123584, 178827264, 17537280, 15329280, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:39.630 UTC, 2024-09-08 19:11:39.663 UTC, 2024-09-08 19:11:39.712 UTC, 0
14, 2024-09-08 19:11:39.713 UTC, 0, 16845123584, 178868224, 26208000, 15398400, 8601600, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:39.752 UTC, 2024-09-08 19:11:39.794 UTC, 2024-09-08 19:11:39.855 UTC, 0
15, 2024-09-08 19:11:39.855 UTC, 1, 16845123584, 178905088, 26330880, 24122880, 0, 1 0 0 -0.188932, 0 1 0 1.71802, 0 0 1 -2.19684, 0 0 0 1, 2024-09-08 19:11:39.896 UTC, 2024-09-08 19:11:39.935 UTC, 2024-09-08 19:11:39.995 UTC, 1
16, 2024-09-08 19:11:39.996 UTC, 0, 16845123584, 179036160, 26142720, 23934720, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:40.038 UTC, 2024-09-08 19:11:40.073 UTC, 2024-09-08 19:11:40.129 UTC, 1
17, 2024-09-08 19:11:40.129 UTC, 0, 16845123584, 179040256, 25954560, 23746560, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:40.172 UTC, 2024-09-08 19:11:40.209 UTC, 2024-09-08 19:11:40.263 UTC, 1
18, 2024-09-08 19:11:40.263 UTC, 0, 16845123584, 179036160, 25712640, 23558400, 18446744073709497856, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:40.304 UTC, 2024-09-08 19:11:40.343 UTC, 2024-09-08 19:11:40.397 UTC, 1
19, 2024-09-08 19:11:40.398 UTC, 0, 16845123584, 179027968, 28416000, 23504640, 2703360, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:40.438 UTC, 2024-09-08 19:11:40.485 UTC, 2024-09-08 19:11:40.540 UTC, 1
20, 2024-09-08 19:11:40.541 UTC, 0, 16845123584, 179015680, 31073280, 26208000, 2657280, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:40.580 UTC, 2024-09-08 19:11:40.616 UTC, 2024-09-08 19:11:40.672 UTC, 1
21, 2024-09-08 19:11:40.673 UTC, 0, 16845123584, 179011584, 30892800, 28738560, 18446744073709497856, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-08 19:11:40.713 UTC, 2024-09-08 19:11:40.746 UTC, 2024-09-08 19:11:40.797 UTC, 1
