id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 09:06:47.208 UTC, 1, 37268647936, 251961344, 14680064, 2097152, 2097152, 0.944395 0.0421288 0.326104 1.13791, -0.32535 -0.0238566 0.945293 -1.90258, 0.0476039 -0.998827 -0.00882352 0.9054, 0 0 0 1, 2024-09-09 09:06:47.239 UTC, 2024-09-09 09:06:47.624 UTC, 2024-09-09 09:06:47.998 UTC, 1
2, 2024-09-09 09:06:47.998 UTC, 0, 37268647936, 253308928, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:48.021 UTC, 2024-09-09 09:06:48.397 UTC, 2024-09-09 09:06:48.753 UTC, 1
3, 2024-09-09 09:06:48.753 UTC, 0, 37268647936, 253812736, 14680064, 2097152, 2097152, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:48.778 UTC, 2024-09-09 09:06:49.128 UTC, 2024-09-09 09:06:49.593 UTC, 1
4, 2024-09-09 09:06:49.593 UTC, 0, 37269868544, 254889984, 14680064, 2097152, 2097152, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:49.624 UTC, 2024-09-09 09:06:50.020 UTC, 2024-09-09 09:06:50.426 UTC, 1
5, 2024-09-09 09:06:50.426 UTC, 0, 37269868544, 255995904, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:50.455 UTC, 2024-09-09 09:06:50.869 UTC, 2024-09-09 09:06:51.265 UTC, 1
6, 2024-09-09 09:06:51.266 UTC, 0, 37269868544, 256266240, 14680064, 2097152, 2097152, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:51.300 UTC, 2024-09-09 09:06:51.670 UTC, 2024-09-09 09:06:52.149 UTC, 1
7, 2024-09-09 09:06:52.149 UTC, 0, 37269868544, 256536576, 14680064, 2097152, 2097152, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:52.188 UTC, 2024-09-09 09:06:52.675 UTC, 2024-09-09 09:06:53.078 UTC, 1
8, 2024-09-09 09:06:53.078 UTC, 0, 37269868544, 256536576, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:53.100 UTC, 2024-09-09 09:06:53.452 UTC, 2024-09-09 09:06:53.816 UTC, 1
9, 2024-09-09 09:06:53.817 UTC, 0, 37269868544, 256806912, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:53.842 UTC, 2024-09-09 09:06:54.215 UTC, 2024-09-09 09:06:54.565 UTC, 1
10, 2024-09-09 09:06:54.565 UTC, 0, 37269868544, 256806912, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:54.594 UTC, 2024-09-09 09:06:54.927 UTC, 2024-09-09 09:06:55.246 UTC, 1
11, 2024-09-09 09:06:55.246 UTC, 1, 37269868544, 257077248, 12582912, 2097152, 0, 0.949768 -0.072157 -0.304525 0.745782, 0.305026 -0.00423617 0.952335 0.419825, -0.0700075 -0.997384 0.0179861 0.208375, 0 0 0 1, 2024-09-09 09:06:55.276 UTC, 2024-09-09 09:06:55.588 UTC, 2024-09-09 09:06:55.896 UTC, 2
12, 2024-09-09 09:06:55.896 UTC, 1, 37269868544, 257617920, 12582912, 2097152, 0, 0.626058 -0.110175 -0.771954 0.127163, 0.771991 -0.0519735 0.633506 0.304831, -0.109918 -0.992552 0.052516 0.513026, 0 0 0 1, 2024-09-09 09:06:55.923 UTC, 2024-09-09 09:06:56.179 UTC, 2024-09-09 09:06:56.458 UTC, 3
13, 2024-09-09 09:06:56.458 UTC, 0, 37269868544, 258699264, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:56.488 UTC, 2024-09-09 09:06:56.676 UTC, 2024-09-09 09:06:56.854 UTC, 3
14, 2024-09-09 09:06:56.854 UTC, 0, 37269868544, 259510272, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:56.879 UTC, 2024-09-09 09:06:56.995 UTC, 2024-09-09 09:06:57.148 UTC, 3
15, 2024-09-09 09:06:57.148 UTC, 0, 37269868544, 260591616, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 09:06:57.165 UTC, 2024-09-09 09:06:57.312 UTC, 2024-09-09 09:06:57.454 UTC, 3
