id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 10:59:37.190 UTC, 0, 36332548096, 261079040, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:37.213 UTC, 2024-09-09 10:59:37.293 UTC, 2024-09-09 10:59:37.539 UTC, 0
2, 2024-09-09 10:59:37.540 UTC, 0, 36334362624, 262893568, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:37.557 UTC, 2024-09-09 10:59:37.639 UTC, 2024-09-09 10:59:37.849 UTC, 0
3, 2024-09-09 10:59:37.849 UTC, 0, 36334362624, 262893568, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:37.877 UTC, 2024-09-09 10:59:37.930 UTC, 2024-09-09 10:59:38.189 UTC, 0
4, 2024-09-09 10:59:38.189 UTC, 0, 36334997504, 263528448, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:38.207 UTC, 2024-09-09 10:59:38.257 UTC, 2024-09-09 10:59:38.453 UTC, 0
5, 2024-09-09 10:59:38.453 UTC, 0, 36334997504, 263528448, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:38.471 UTC, 2024-09-09 10:59:38.526 UTC, 2024-09-09 10:59:38.804 UTC, 0
6, 2024-09-09 10:59:38.804 UTC, 0, 36334997504, 263528448, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:38.826 UTC, 2024-09-09 10:59:38.868 UTC, 2024-09-09 10:59:39.027 UTC, 0
7, 2024-09-09 10:59:39.027 UTC, 0, 36334997504, 263528448, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:39.045 UTC, 2024-09-09 10:59:39.089 UTC, 2024-09-09 10:59:39.311 UTC, 0
8, 2024-09-09 10:59:39.311 UTC, 0, 36334997504, 263528448, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:39.338 UTC, 2024-09-09 10:59:39.397 UTC, 2024-09-09 10:59:39.773 UTC, 0
9, 2024-09-09 10:59:39.773 UTC, 0, 36334997504, 263528448, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:39.796 UTC, 2024-09-09 10:59:39.875 UTC, 2024-09-09 10:59:40.275 UTC, 0
10, 2024-09-09 10:59:40.275 UTC, 0, 36336553984, 264605696, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 10:59:40.295 UTC, 2024-09-09 10:59:40.363 UTC, 2024-09-09 10:59:40.716 UTC, 0
