id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 11:07:46.786 UTC, 1, 2288996352, 143618048, 0, 0, 0, 0.810867 0.486587 0.325158 -2.19542, -0.523289 0.354062 0.775119 -1.87376, 0.262037 -0.79867 0.541723 0.591038, 0 0 0 1, 2024-09-09 11:07:46.816 UTC, 2024-09-09 11:07:47.277 UTC, 2024-09-09 11:08:18.268 UTC, 2
2, 2024-09-09 11:08:18.268 UTC, 0, 2276151296, 131207168, 0, 0, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 11:08:18.323 UTC, 2024-09-09 11:08:18.799 UTC, 2024-09-09 11:10:30.042 UTC, 2
3, 2024-09-09 11:10:30.042 UTC, 1, 2273464320, 129581056, 0, 0, 0, -0.959438 0.245591 -0.138435 2.0113, 0.264982 0.953227 -0.145406 -0.741354, 0.0962498 -0.176191 -0.979639 3.92357, 0 0 0 1, 2024-09-09 11:10:30.067 UTC, 2024-09-09 11:10:30.358 UTC, 2024-09-09 11:10:36.770 UTC, 3
4, 2024-09-09 11:10:36.771 UTC, 1, 2274734080, 131616768, 0, 0, 0, -0.783384 -0.571901 0.243391 -0.100399, 0.60847 -0.785545 0.112624 -1.79145, 0.126785 0.236324 0.963367 0.177134, 0 0 0 1, 2024-09-09 11:10:36.816 UTC, 2024-09-09 11:10:37.069 UTC, 2024-09-09 11:10:39.462 UTC, 4
5, 2024-09-09 11:10:39.462 UTC, 1, 2272522240, 130461696, 0, 0, 0, -0.7934 -0.551908 0.256737 -0.16793, 0.594807 -0.792557 0.134384 -1.86972, 0.129311 0.259329 0.957093 0.211905, 0 0 0 1, 2024-09-09 11:10:39.496 UTC, 2024-09-09 11:10:39.692 UTC, 2024-09-09 11:10:41.972 UTC, 5
