id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 07:35:42.503 UTC, 0, 16845697024, 176926720, 741765120, 718602240, 14987520, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:42.546 UTC, 2024-09-09 07:35:42.601 UTC, 2024-09-09 07:35:42.941 UTC, 0
2, 2024-09-09 07:35:42.942 UTC, 0, 16846426112, 177643520, 773391360, 734315520, 30900480, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:42.973 UTC, 2024-09-09 07:35:43.020 UTC, 2024-09-09 07:35:43.345 UTC, 0
3, 2024-09-09 07:35:43.345 UTC, 0, 16846426112, 177627136, 773875200, 765216000, 483840, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:43.377 UTC, 2024-09-09 07:35:43.425 UTC, 2024-09-09 07:35:43.718 UTC, 0
4, 2024-09-09 07:35:43.720 UTC, 0, 16846426112, 178163712, 774466560, 765699840, 591360, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:43.751 UTC, 2024-09-09 07:35:43.794 UTC, 2024-09-09 07:35:44.064 UTC, 0
5, 2024-09-09 07:35:44.064 UTC, 0, 16846897152, 178610176, 775004160, 766667520, 161280, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:44.095 UTC, 2024-09-09 07:35:44.139 UTC, 2024-09-09 07:35:44.428 UTC, 0
6, 2024-09-09 07:35:44.428 UTC, 0, 16846897152, 178925568, 774988800, 766828800, 18446744073709536256, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:44.456 UTC, 2024-09-09 07:35:44.500 UTC, 2024-09-09 07:35:44.777 UTC, 0
7, 2024-09-09 07:35:44.777 UTC, 0, 16846897152, 178987008, 807486720, 766813440, 32497920, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:44.798 UTC, 2024-09-09 07:35:44.841 UTC, 2024-09-09 07:35:45.156 UTC, 0
8, 2024-09-09 07:35:45.156 UTC, 0, 16846897152, 179298304, 807782400, 799311360, 295680, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:45.178 UTC, 2024-09-09 07:35:45.219 UTC, 2024-09-09 07:35:45.510 UTC, 0
9, 2024-09-09 07:35:45.511 UTC, 0, 16846897152, 179257344, 807513600, 799607040, 18446744073709282816, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:45.538 UTC, 2024-09-09 07:35:45.579 UTC, 2024-09-09 07:35:45.857 UTC, 0
10, 2024-09-09 07:35:45.857 UTC, 0, 16846897152, 179220480, 807191040, 799580160, 18446744073708987136, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:45.886 UTC, 2024-09-09 07:35:45.930 UTC, 2024-09-09 07:35:46.194 UTC, 0
11, 2024-09-09 07:35:46.195 UTC, 0, 16847081472, 179343360, 837181440, 799015680, 29990400, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 07:35:46.219 UTC, 2024-09-09 07:35:46.260 UTC, 2024-09-09 07:35:46.563 UTC, 0
