id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 08:46:59.820 UTC, 1, 36267257856, 260222976, 14680064, 2097152, 2097152, 0.989175 -0.0697582 0.129097 -0.669057, -0.136574 -0.115935 0.983822 -2.41894, -0.0536629 -0.990804 -0.124207 0.397612, 0 0 0 1, 2024-09-09 08:46:59.845 UTC, 2024-09-09 08:46:59.947 UTC, 2024-09-09 08:47:00.402 UTC, 1
2, 2024-09-09 08:47:00.402 UTC, 1, 36269522944, 262488064, 14680064, 2097152, 2097152, 0.994513 -0.0511211 0.0912748 -0.482716, -0.0983956 -0.160718 0.982083 -2.33665, -0.0355357 -0.985675 -0.164867 0.635511, 0 0 0 1, 2024-09-09 08:47:00.431 UTC, 2024-09-09 08:47:00.520 UTC, 2024-09-09 08:47:00.933 UTC, 2
3, 2024-09-09 08:47:00.933 UTC, 0, 36269522944, 262492160, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 08:47:00.956 UTC, 2024-09-09 08:47:01.054 UTC, 2024-09-09 08:47:01.551 UTC, 2
4, 2024-09-09 08:47:01.551 UTC, 1, 36269522944, 262492160, 12582912, 2097152, 0, 0.994054 -0.061149 0.0900999 -0.441528, -0.0960367 -0.102329 0.990104 -2.43805, -0.051324 -0.992869 -0.107594 0.247457, 0 0 0 1, 2024-09-09 08:47:01.573 UTC, 2024-09-09 08:47:01.678 UTC, 2024-09-09 08:47:02.139 UTC, 3
5, 2024-09-09 08:47:02.139 UTC, 1, 36269522944, 262492160, 12582912, 2097152, 0, 0.99282 -0.0913082 0.0772654 -0.378458, -0.09593 -0.221983 0.97032 -2.23326, -0.0714464 -0.970765 -0.229149 0.852637, 0 0 0 1, 2024-09-09 08:47:02.168 UTC, 2024-09-09 08:47:02.243 UTC, 2024-09-09 08:47:02.729 UTC, 4
6, 2024-09-09 08:47:02.730 UTC, 1, 36269522944, 262492160, 12582912, 2097152, 0, 0.995578 -0.0735885 0.0583825 -0.267458, -0.0710236 -0.182943 0.980555 -2.39851, -0.0614769 -0.980366 -0.187361 0.677616, 0 0 0 1, 2024-09-09 08:47:02.754 UTC, 2024-09-09 08:47:02.844 UTC, 2024-09-09 08:47:03.297 UTC, 5
7, 2024-09-09 08:47:03.297 UTC, 0, 36269522944, 262492160, 14680064, 2097152, 2097152, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 08:47:03.329 UTC, 2024-09-09 08:47:03.419 UTC, 2024-09-09 08:47:03.922 UTC, 5
8, 2024-09-09 08:47:03.922 UTC, 0, 36269522944, 262492160, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 08:47:03.960 UTC, 2024-09-09 08:47:04.028 UTC, 2024-09-09 08:47:04.471 UTC, 5
9, 2024-09-09 08:47:04.471 UTC, 0, 36269522944, 262492160, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 08:47:04.499 UTC, 2024-09-09 08:47:04.594 UTC, 2024-09-09 08:47:05.026 UTC, 5
10, 2024-09-09 08:47:05.026 UTC, 1, 36269522944, 262492160, 12582912, 2097152, 0, 0.93671 -0.122521 0.327967 -1.91019, -0.344454 -0.154881 0.925939 -2.48926, -0.0626512 -0.980306 -0.187281 0.541495, 0 0 0 1, 2024-09-09 08:47:05.055 UTC, 2024-09-09 08:47:05.128 UTC, 2024-09-09 08:47:05.557 UTC, 6
11, 2024-09-09 08:47:05.557 UTC, 0, 36269522944, 262492160, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 08:47:05.586 UTC, 2024-09-09 08:47:05.662 UTC, 2024-09-09 08:47:06.215 UTC, 6
12, 2024-09-09 08:47:06.216 UTC, 0, 36269522944, 262492160, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 08:47:06.234 UTC, 2024-09-09 08:47:06.296 UTC, 2024-09-09 08:47:06.776 UTC, 6
13, 2024-09-09 08:47:06.776 UTC, 1, 36269522944, 262492160, 14680064, 2097152, 2097152, 0.992635 -0.0746373 0.0954245 -0.44374, -0.107845 -0.18557 0.976695 -2.4024, -0.0551901 -0.979793 -0.192253 0.455398, 0 0 0 1, 2024-09-09 08:47:06.821 UTC, 2024-09-09 08:47:06.892 UTC, 2024-09-09 08:47:07.331 UTC, 7
14, 2024-09-09 08:47:07.331 UTC, 0, 36269522944, 262492160, 12582912, 2097152, 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 0 0 0 0, 2024-09-09 08:47:07.355 UTC, 2024-09-09 08:47:07.438 UTC, 2024-09-09 08:47:07.830 UTC, 7
15, 2024-09-09 08:47:07.830 UTC, 1, 36269522944, 262492160, 12582912, 2097152, 0, 0.986633 -0.10499 0.124633 -0.618185, -0.142334 -0.182755 0.972801 -2.41099, -0.079357 -0.977537 -0.195255 0.522638, 0 0 0 1, 2024-09-09 08:47:07.859 UTC, 2024-09-09 08:47:07.959 UTC, 2024-09-09 08:47:08.362 UTC, 8
16, 2024-09-09 08:47:08.362 UTC, 1, 36269522944, 262492160, 12582912, 2097152, 0, 0.987203 -0.0969205 0.126639 -0.718256, -0.144288 -0.204678 0.968136 -2.34609, -0.067912 -0.974019 -0.216043 0.597746, 0 0 0 1, 2024-09-09 08:47:08.400 UTC, 2024-09-09 08:47:08.497 UTC, 2024-09-09 08:47:09.019 UTC, 9
17, 2024-09-09 08:47:09.019 UTC, 1, 36269522944, 262492160, 12582912, 2097152, 0, 0.961702 -0.142581 0.234091 -0.98343, -0.255015 -0.152375 0.954856 -2.2707, -0.100476 -0.977984 -0.182899 0.173734, 0 0 0 1, 2024-09-09 08:47:09.049 UTC, 2024-09-09 08:47:09.127 UTC, 2024-09-09 08:47:09.540 UTC, 10
