id, timestamp, converged, tf_row1, tf_row2, tf_row3, tf_row4, successful_count
191, 2024-06-23 09:16:33.341 UTC, 1, -0.0294564 -0.110432 -0.993447 0.197437, 0.997132 -0.0725666 -0.021499 0.275448, -0.0697167 -0.991231 0.112253 0.183975, 0 0 0 1, 1
196, 2024-06-23 09:16:33.709 UTC, 1, -0.0993322 -0.297396 -0.949573 -0.0720521, 0.990912 -0.116549 -0.0671542 0.340948, -0.0907009 -0.947614 0.306271 -0.306892, 0 0 0 1, 2
197, 2024-06-23 09:16:33.826 UTC, 1, -0.0240241 -0.262172 -0.964722 0.0140019, 0.993496 -0.1137 0.00615816 0.0455196, -0.111303 -0.9583 0.263198 -0.516233, 0 0 0 1, 3
427, 2024-06-23 09:16:49.509 UTC, 1, 1 0 0 -0.319917, 0 1 0 0.462957, 0 0 1 -2.42096, 0 0 0 1, 4
455, 2024-06-23 09:16:51.259 UTC, 1, 1 0 0 -0.23028, 0 1 0 0.345494, 0 0 1 -2.35437, 0 0 0 1, 5
475, 2024-06-23 09:16:52.645 UTC, 1, 1 0 0 -0.408931, 0 1 0 0.563201, 0 0 1 -2.20534, 0 0 0 1, 6
601, 2024-06-23 09:17:00.129 UTC, 1, 1 0 0 -0.209097, 0 1 0 0.853287, 0 0 1 -2.28125, 0 0 0 1, 7
927, 2024-06-23 09:17:20.186 UTC, 1, -0.848516 0.190472 -0.493702 0.401103, 0.453982 -0.217335 -0.864098 0.590747, -0.271885 -0.957333 0.0979422 -0.602658, 0 0 0 1, 8
928, 2024-06-23 09:17:20.292 UTC, 1, 0.941393 0.250555 -0.225838 0.424887, 0.0300823 0.60449 0.796044 0.721523, 0.33597 -0.756185 0.561525 -0.407055, 0 0 0 1, 9
937, 2024-06-23 09:17:20.874 UTC, 1, 0.33443 -0.34134 0.878432 -1.08614, 0.898 0.398211 -0.187145 2.54503, -0.285922 0.851419 0.439698 -0.681569, 0 0 0 1, 10
938, 2024-06-23 09:17:20.945 UTC, 1, 1 0 0 -0.159295, 0 1 0 0.857665, 0 0 1 -0.711065, 0 0 0 1, 11
939, 2024-06-23 09:17:20.999 UTC, 1, 1 0 0 -0.232528, 0 1 0 0.87168, 0 0 1 -0.685914, 0 0 0 1, 12
941, 2024-06-23 09:17:21.092 UTC, 1, 1 0 0 -0.315536, 0 1 0 0.871709, 0 0 1 -0.644717, 0 0 0 1, 13
943, 2024-06-23 09:17:21.179 UTC, 1, 1 0 0 -0.27419, 0 1 0 0.751477, 0 0 1 -0.688054, 0 0 0 1, 14
944, 2024-06-23 09:17:21.220 UTC, 1, 1 0 0 -0.303864, 0 1 0 0.830658, 0 0 1 -0.646162, 0 0 0 1, 15
947, 2024-06-23 09:17:21.355 UTC, 1, 1 0 0 -0.0641655, 0 1 0 0.74115, 0 0 1 -0.828005, 0 0 0 1, 16
949, 2024-06-23 09:17:21.453 UTC, 1, 1 0 0 -0.0766687, 0 1 0 0.848234, 0 0 1 -0.783805, 0 0 0 1, 17
950, 2024-06-23 09:17:21.496 UTC, 1, 1 0 0 -0.156272, 0 1 0 0.920562, 0 0 1 -0.632053, 0 0 0 1, 18
951, 2024-06-23 09:17:21.545 UTC, 1, 1 0 0 -0.088247, 0 1 0 0.856538, 0 0 1 -0.69969, 0 0 0 1, 19
952, 2024-06-23 09:17:21.594 UTC, 1, 1 0 0 -0.127208, 0 1 0 1.03612, 0 0 1 -0.697332, 0 0 0 1, 20
953, 2024-06-23 09:17:21.651 UTC, 1, 1 0 0 -0.0496613, 0 1 0 0.799678, 0 0 1 -0.864369, 0 0 0 1, 21
