id, timestamp, converged, ram_VmSize, ram_VmRSS, gpu_total, gpu_fest, gpu_pose_est, tf_row1, tf_row2, tf_row3, tf_row4, timestamp_post_capture, timestamp_post_fest, timestamp_post_pose_est, successful_count
1, 2024-09-09 07:41:14.848 UTC, 1, 17242099712, 149393408, 0, 0, 0, 0.149068 0.862438 0.483715 4.33983, 0.833328 -0.372902 0.408055 -6.11221, 0.5323 0.342265 -0.774281 2.51127, 0 0 0 1, 2024-09-09 07:41:14.875 UTC, 2024-09-09 07:41:15.253 UTC, 2024-09-09 07:41:20.638 UTC, 2
2, 2024-09-09 07:41:20.639 UTC, 1, 17242099712, 149975040, 0, 0, 0, -0.825589 -0.092428 -0.556651 -1.45086, 0.564184 -0.152605 -0.811423 1.74285, -0.00994945 -0.983956 0.178135 0.996138, 0 0 0 1, 2024-09-09 07:41:20.666 UTC, 2024-09-09 07:41:21.223 UTC, 2024-09-09 07:41:27.969 UTC, 3
3, 2024-09-09 07:41:27.970 UTC, 1, 17242099712, 150683648, 0, 0, 0, 0.983208 -0.105339 -0.149015 -2.29128, 0.102263 -0.358276 0.927999 -3.17283, -0.151143 -0.927654 -0.341487 2.12834, 0 0 0 1, 2024-09-09 07:41:27.994 UTC, 2024-09-09 07:41:28.449 UTC, 2024-09-09 07:41:51.592 UTC, 4
