hostname,executable,timestamp,cmd_args,srcCloud,destCloudPtNT,destCloudDesc,RANSAC_preset,NE&FEST src [ms],align [ms],fitScore,allignment,info,tf_martrix_filename,maxIter,simThrH,maxCorrDist,inlierFract
ChrisLegion,./15_fpfh_registration,06/16/24 14:56:59.121428249 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest.pcd ../../files/20240416_fhtw_stairs_p5a_124_filtered.pcd -pcfg ../cfg/customPreset5cuTest.cfg -log ,../../files/20240416_fhtw_stairs_p5a_124_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_fpfh33.pcd,custom5cuTest,45.246435,290.880071,0.783027,CONVERGED,Inliers: 1389 / 7282 (19.074430 %),../../files/20240416_fhtw_stairs_p5a_124_filtered_tfmatrix.Affine3f,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:57:02.20849444 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest.pcd ../../files/20240416_fhtw_stairs_p5a_125_filtered.pcd -pcfg ../cfg/customPreset5cuTest.cfg -log ,../../files/20240416_fhtw_stairs_p5a_125_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_fpfh33.pcd,custom5cuTest,41.558919,281.403121,0.808274,CONVERGED,Inliers: 1350 / 7010 (19.258204 %),../../files/20240416_fhtw_stairs_p5a_125_filtered_tfmatrix.Affine3f,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:57:04.934378832 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest.pcd ../../files/20240416_fhtw_stairs_p5a_126_filtered.pcd -pcfg ../cfg/customPreset5cuTest.cfg -log ,../../files/20240416_fhtw_stairs_p5a_126_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_fpfh33.pcd,custom5cuTest,42.010841,278.947563,0.794307,CONVERGED,Inliers: 1324 / 6991 (18.938635 %),../../files/20240416_fhtw_stairs_p5a_126_filtered_tfmatrix.Affine3f,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:57:05.877510401 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest.pcd ../../files/20240416_fhtw_stairs_p5a_127_filtered.pcd -pcfg ../cfg/customPreset5cuTest.cfg -log ,../../files/20240416_fhtw_stairs_p5a_127_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_fpfh33.pcd,custom5cuTest,37.049081,217.463198,0.809531,CONVERGED,Inliers: 1285 / 6358 (20.210758 %),../../files/20240416_fhtw_stairs_p5a_127_filtered_tfmatrix.Affine3f,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:57:08.685633624 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest.pcd ../../files/20240416_fhtw_stairs_p5a_128_filtered.pcd -pcfg ../cfg/customPreset5cuTest.cfg -log ,../../files/20240416_fhtw_stairs_p5a_128_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_fpfh33.pcd,custom5cuTest,33.804145,236.404601,0.820451,CONVERGED,Inliers: 981 / 5809 (16.887589 %),../../files/20240416_fhtw_stairs_p5a_128_filtered_tfmatrix.Affine3f,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:57:11.444643998 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest.pcd ../../files/20240416_fhtw_stairs_p5a_129_filtered.pcd -pcfg ../cfg/customPreset5cuTest.cfg -log ,../../files/20240416_fhtw_stairs_p5a_129_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_fpfh33.pcd,custom5cuTest,40.273382,234.914210,0.824248,CONVERGED,Inliers: 1065 / 5650 (18.849558 %),../../files/20240416_fhtw_stairs_p5a_129_filtered_tfmatrix.Affine3f,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/16/24 14:57:12.363681149 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest.pcd ../../files/20240416_fhtw_stairs_p5a_130_filtered.pcd -pcfg ../cfg/customPreset5cuTest.cfg -log ,../../files/20240416_fhtw_stairs_p5a_130_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_custom5cuTest_fpfh33.pcd,custom5cuTest,36.662438,202.559098,0.640680,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/21/24 07:03:15.620488260 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu.pcd ../../files/20240416_fhtw_stairs_p5a_120_filtered.pcd -p fpfh_5_fpfh_fgr_gpu -log ,../../files/20240416_fhtw_stairs_p5a_120_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu_fpfh33.pcd,fpfh_5_fpfh_fgr_gpu,47.239813,304.919626,0.373199,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/21/24 07:03:18.514189700 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu.pcd ../../files/20240416_fhtw_stairs_p5a_121_filtered.pcd -p fpfh_5_fpfh_fgr_gpu -log ,../../files/20240416_fhtw_stairs_p5a_121_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu_fpfh33.pcd,fpfh_5_fpfh_fgr_gpu,43.982175,284.697546,0.490876,FAILED,none,none,128,0.950000,0.600000,0.780000
ChrisLegion,./15_fpfh_registration,06/21/24 07:03:21.473457535 UTC,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu.pcd ../../files/20240416_fhtw_stairs_p5a_122_filtered.pcd -p fpfh_5_fpfh_fgr_gpu -log ,../../files/20240416_fhtw_stairs_p5a_122_filtered.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu_PointNormal.pcd,../../files/feature_desc/20231121_fhtw_hallway_groundplane_tf_fpfh_5_fpfh_fgr_gpu_fpfh33.pcd,fpfh_5_fpfh_fgr_gpu,42.536803,268.071584,0.744149,FAILED,none,none,128,0.950000,0.600000,0.780000
