hostname,executable,timestamp,cmd_args,PCD_filename,Range Image,NARF keyp. detection,detected keyp.,NARF keyp. extraction,extracted keyp.,Total comp. time,desc. filename,keypoints filename
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:25:02.769578824 UTC,../../files/20231209_hoffice_med5_tf.pcd -r 0.3 -s 0.3f -min 0.2f -v ,../../files/20231209_hoffice_med5_tf.pcd,551.063 ms,3715.52 ms,964 key points,297.594 ms,1040 key points,4564.17 ms,../../files/feature_desc/20231209_hoffice_med5_tf_narf36.pcd,../../files/feature_desc/20231209_hoffice_med5_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:25:45.727861702 UTC,../../files/20231209_hoffice_med5_tf.pcd -r 0.3 -s 0.5f -min 0.2f -v ,../../files/20231209_hoffice_med5_tf.pcd,543.589 ms,4074.37 ms,914 key points,571.389 ms,989 key points,5189.35 ms,../../files/feature_desc/20231209_hoffice_med5_tf_narf36.pcd,../../files/feature_desc/20231209_hoffice_med5_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:27:03.69916557 UTC,../../files/20231209_hoffice_med5_tf.pcd -r 0.3 -s 2f -min 0.2f -v ,../../files/20231209_hoffice_med5_tf.pcd,542.201 ms,5906.67 ms,410 key points,2179.9 ms,435 key points,8628.77 ms,../../files/feature_desc/20231209_hoffice_med5_tf_narf36.pcd,../../files/feature_desc/20231209_hoffice_med5_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:29:08.336374695 UTC,../../files/20231210_hofficecpt_2_filtered_tf.pcd -r 0.3 -s 2f -min 0.2f -v ,../../files/20231210_hofficecpt_2_filtered_tf.pcd,16.2007 ms,8.52785 ms,0 key points,0.057653 ms,0 key points,24.7862 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:29:18.649993181 UTC,../../files/20231210_hofficecpt_2_filtered_tf.pcd -r 0.1 -s 2f -min 0.2f -v ,../../files/20231210_hofficecpt_2_filtered_tf.pcd,118.956 ms,15.6992 ms,0 key points,0.083738 ms,0 key points,134.739 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:29:37.880817438 UTC,../../files/20231210_hofficecpt_2_filtered_tf.pcd -r 0.1 -s 0.2f -min 0.2f -v ,../../files/20231210_hofficecpt_2_filtered_tf.pcd,104.348 ms,15.7562 ms,0 key points,0.061528 ms,0 key points,120.165 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:29:51.880229261 UTC,../../files/20231210_hofficecpt_2_filtered_tf.pcd -r 0.1 -s 0.2f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered_tf.pcd,120.856 ms,25.2474 ms,0 key points,0.055677 ms,0 key points,146.159 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:30:04.408314459 UTC,../../files/20231210_hofficecpt_2_filtered_tf.pcd -r 0.1 -s 2f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered_tf.pcd,95.1038 ms,26.667 ms,0 key points,0.068833 ms,0 key points,121.84 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_tf_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:30:13.651104844 UTC,../../files/20231210_hofficecpt_2_filtered.pcd -r 0.1 -s 2f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered.pcd,390.472 ms,1357.63 ms,4 key points,1039.71 ms,5 key points,2787.81 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_XYZ.pcd
ChrisLegion,./02_narf_feature_extraction,12/10/23 14:30:31.193280088 UTC,../../files/20231210_hofficecpt_2_filtered.pcd -r 0.1 -s 0.2f -min 0.2f -v -m ,../../files/20231210_hofficecpt_2_filtered.pcd,350.01 ms,620.146 ms,304 key points,1899.3 ms,349 key points,2869.46 ms,../../files/feature_desc/20231210_hofficecpt_2_filtered_narf36.pcd,../../files/feature_desc/20231210_hofficecpt_2_filtered_XYZ.pcd
